id,customer_id,order_date,status,order_usd_amount
1,3,2026-03-04,pending,1379.53
2,5,2026-01-13,pending,570.61
3,3,2026-05-01,completed,520.29
4,6,2026-02-28,cancelled,800.54
5,19,2026-07-05,completed,332.08
6,2,2026-05-02,completed,1362.77
7,1,2026-03-17,pending,24.0
8,8,2026-04-07,completed,1396.59
9,17,2026-04-17,cancelled,915.08
10,8,2026-05-15,completed,1061.76
11,12,2026-03-13,cancelled,1070.32
12,13,2026-06-17,completed,290.49
13,15,2026-01-22,cancelled,752.8
14,5,2026-06-30,completed,963.19
15,1,2026-02-13,completed,1072.44
16,18,2026-03-03,completed,44.13
17,2,2026-06-08,completed,75.18
18,5,2026-05-21,pending,241.31
19,19,2026-01-13,cancelled,113.14
20,10,2026-05-04,completed,1359.94
21,14,2026-01-05,completed,691.72
22,3,2026-06-12,cancelled,515.86
23,17,2026-04-27,cancelled,640.31
24,3,2026-03-05,cancelled,541.47
25,8,2026-06-03,completed,823.19
26,14,2026-03-24,completed,348.61
27,1,2026-02-14,pending,486.25
28,19,2026-03-04,completed,24.96
29,12,2026-01-05,cancelled,1228.06
30,7,2026-03-26,completed,706.44
31,7,2026-06-18,completed,381.86
32,1,2026-01-31,completed,148.95
33,11,2026-06-28,pending,959.17
34,15,2026-01-25,completed,688.1
35,16,2026-04-23,cancelled,1301.55
36,7,2026-03-09,pending,761.48
37,10,2026-06-06,completed,543.54
38,14,2026-02-02,cancelled,1232.03
39,3,2026-01-25,completed,1163.73
40,4,2026-04-05,completed,384.76
41,9,2026-02-13,completed,1112.03
42,16,2026-02-16,completed,1223.32
43,5,2026-04-12,completed,1296.67
44,12,2026-07-16,completed,902.73
45,16,2026-07-17,pending,293.59
46,13,2026-04-10,pending,762.04
47,3,2026-02-23,pending,78.47
48,13,2026-02-01,cancelled,428.35
49,4,2026-06-28,completed,858.65
50,12,2026-02-02,completed,234.05
51,15,2026-02-06,completed,673.27
52,5,2026-07-20,pending,332.23
